InsertionSort-Cresc,InsertionSort-Decresc,InsertionSort-Aleatorio,BubbleSort2-Cresc,BubbleSort2-Decresc,BubbleSort2-Aleatorio,BubbleSort-Cresc,BubbleSort-Decresc,BubbleSort-Aleatorio,SelectionSort-Cresc,SelectionSort-Decresc,SelectionSort-Aleatorio,BucketSort-Cresc,BucketSort-Decresc,BucketSort-Aleatorio,
170,7395,3453,85,85,85,3740,3740,3740,3740,3740,3740,429,444,411,
172,7568,3589,86,86,86,3827,3827,3827,3827,3827,3827,434,448,410,
174,7743,3985,87,87,87,3915,3915,3915,3915,3915,3915,439,452,425,
176,7920,4133,88,88,88,4004,4004,4004,4004,4004,4004,444,456,435,
178,8099,3669,89,89,89,4094,4094,4094,4094,4094,4094,449,460,427,
180,8280,4142,90,90,90,4185,4185,4185,4185,4185,4185,454,464,435,
182,8463,3940,91,91,91,4277,4277,4277,4277,4277,4277,459,468,439,
184,8648,4591,92,92,92,4370,4370,4370,4370,4370,4370,464,472,437,
186,8835,4314,93,93,93,4464,4464,4464,4464,4464,4464,469,476,442,
188,9024,4774,94,94,94,4559,4559,4559,4559,4559,4559,474,480,450,
190,9215,4653,95,95,95,4655,4655,4655,4655,4655,4655,479,484,456,
192,9408,5216,96,96,96,4752,4752,4752,4752,4752,4752,484,488,453,
194,9603,4988,97,97,97,4850,4850,4850,4850,4850,4850,489,492,458,
196,9800,4802,98,98,98,4949,4949,4949,4949,4949,4949,494,496,457,
198,9999,5253,99,99,99,5049,5049,5049,5049,5049,5049,499,499,467,
